operation_id	name	required	value_kind	wire_encoding	enum	fingerprint
get_actions	id	yes	integer[]	repeat		e2c6cb2b9dfc5b00dc303b8a3d4657befdd061aca5b3d943f09399567d477040
list_certificates	label_selector	no	string	scalar		34409838baa32e96bfe5a5351a68ee5e9f443f670093da099bc1c087bea7b0db
list_certificates	name	no	string	scalar		c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
list_certificates	page	no	integer	scalar		49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
list_certificates	per_page	no	integer	scalar		6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
list_certificates	sort	no	string[]	repeat	id|id:asc|id:desc|name|name:asc|name:desc|created|created:asc|created:desc	07bff43e34756fb7d2447e01aee4be72ebaef5e830ff97adfa18ce8843cc18c4
list_certificates	type	no	string[]	repeat	uploaded|managed	e92d6186c70dce2c4b43741232f5ff04fbeceea6167591ba2d5bf0ab61008d44
list_certificates_actions	id	no	integer[]	repeat		2d8b77ea2e81a340f3e827128f1d4484364ffd1af75bdb7c99ac15ed457769e9
list_certificates_actions	page	no	integer	scalar		49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
list_certificates_actions	per_page	no	integer	scalar		6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
list_certificates_actions	sort	no	string[]	repeat	id|id:asc|id:desc|command|command:asc|command:desc|status|status:asc|status:desc|started|started:asc|started:desc|finished|finished:asc|finished:desc	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
list_certificates_actions	status	no	string[]	repeat	running|success|error	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
list_certificate_actions	page	no	integer	scalar		49951a13ec443bf813598679ed9e41c433d2f85b918c79ed5e31c14c1fb6ff6a
list_certificate_actions	per_page	no	integer	scalar		6e614a6688b4fcf1d3affb5e83c7ee6684120a11533b4f756e3a56e128cce2fe
list_certificate_actions	sort	no	string[]	repeat	id|id:asc|id:desc|command|command:asc|command:desc|status|status:asc|status:desc|started|started:asc|started:desc|finished|finished:asc|finished:desc	e073e7d95c82b52ffdf9ab24de877735d0fd3c5e2711b719d01c25b9e1ecc093
list_certificate_actions	status	no	string[]	repeat	running|success|error	515ddd242f9d681acb620a14e1dab7ebaae911f39e8da17ba21126a8ba21b7db
list_firewalls	label_selector	no	string	scalar		34409838baa32e96bfe5a5351a68ee5e9f443f670093da099bc1c087bea7b0db
list_firewalls	name	no	string	scalar		c0ad0671fb2f469fef6db68ad58a6937602a936a3df5e599296a62fded257394
